player,latest_team,position,total_minutes,impact90,impact90_lo,impact90_hi,rapm_xg,rapm_xg_lo,rapm_xg_hi,finishing_per90,shots,rapm_goals,rapm_goals_lo,rapm_goals_hi,naive_gd90,naive_xgd90
Soungoutou Magassa,West Ham,MID,981,-0.0228,-0.1217,0.0798,-0.0232,-0.1221,0.0794,0.0004,7.0,-0.0992,-0.1758,-0.0109,-0.9476,-0.3586
Loum Tchaouna,Burnley,FWD,1280,-0.0231,-0.1164,0.0952,-0.0255,-0.1188,0.0928,0.0024,23.0,0.0145,-0.057,0.0979,0.1497,-0.3263
Konstantinos Mavropanos,West Ham,DEF,6080,-0.0232,-0.1347,0.1058,-0.0218,-0.1334,0.1072,-0.0013,53.0,0.0043,-0.1106,0.1333,0.1377,0.1081
Hannibal Mejbri,Burnley,MID,1384,-0.0238,-0.123,0.0681,-0.0281,-0.1274,0.0637,0.0043,20.0,0.0521,-0.0361,0.1331,0.5762,-0.0953
Reinildo,Sunderland,DEF,1991,-0.0241,-0.1399,0.0752,-0.0241,-0.1398,0.0753,-0.0001,4.0,0.0505,-0.0455,0.1396,0.5825,0.1283
Freddie Potts,West Ham,MID,1160,-0.0242,-0.1123,0.0872,-0.0241,-0.1122,0.0873,-0.0001,3.0,-0.016,-0.1045,0.0805,-0.1311,-0.1687
Will Hughes,Crystal Palace,MID,5680,-0.0249,-0.1313,0.0968,-0.0211,-0.1276,0.1005,-0.0038,47.0,-0.0473,-0.1811,0.0779,-0.2094,-0.138
Reece Burke,Luton,DEF,1703,-0.025,-0.1457,0.0841,-0.0233,-0.1439,0.0859,-0.0018,13.0,-0.0457,-0.1263,0.0495,0.2395,0.5332
Mateus Mané,Wolverhampton Wanderers,MID,1800,-0.0257,-0.1238,0.0742,-0.0301,-0.1283,0.0697,0.0044,41.0,-0.0015,-0.086,0.0716,-0.0999,-0.1073
Ben Godfrey,Ipswich,DEF,1305,-0.0262,-0.1235,0.06,-0.0237,-0.1209,0.0625,-0.0025,15.0,-0.0628,-0.1781,0.0476,-0.4325,0.0168
Habib Diarra,Sunderland,MID,1427,-0.0268,-0.1106,0.0599,-0.0243,-0.108,0.0625,-0.0026,26.0,0.0239,-0.0697,0.1098,0.0515,0.1132
Dean Henderson,Crystal Palace,GK,8439,-0.0274,-0.0906,0.0515,-0.0274,-0.0906,0.0515,-0.0,1.0,-0.0117,-0.0774,0.0589,0.2879,0.2064
Marcus Edwards,Burnley,MID,1062,-0.0274,-0.1185,0.0707,-0.0239,-0.115,0.0742,-0.0035,23.0,0.0651,-0.015,0.1432,0.8409,-0.0295
Callum Hudson-Odoi,Nottingham Forest,FWD,5955,-0.0278,-0.1613,0.0924,-0.044,-0.1774,0.0762,0.0162,105.0,-0.013,-0.1542,0.1331,0.1846,0.005
Charlie Taylor,Southampton,DEF,2700,-0.0279,-0.1702,0.0871,-0.029,-0.1713,0.0861,0.0011,10.0,-0.0334,-0.1396,0.0594,0.4087,0.4732
Diogo Jota,Liverpool,FWD,2368,-0.0282,-0.161,0.1135,-0.0255,-0.1584,0.1161,-0.0027,92.0,0.1145,-0.0117,0.2303,0.6458,0.2955
Kyle Walker,Burnley,DEF,6893,-0.0285,-0.1357,0.0753,-0.0277,-0.1349,0.0761,-0.0008,25.0,-0.0859,-0.1957,0.0145,-0.1814,-0.2077
Brajan Gruda,Brighton,FWD,1414,-0.0285,-0.1519,0.1105,-0.0267,-0.1501,0.1123,-0.0018,27.0,-0.003,-0.1048,0.1212,0.087,-0.3339
Alexander Isak,Liverpool,FWD,5869,-0.0295,-0.1692,0.0997,-0.0281,-0.1678,0.1011,-0.0014,194.0,-0.0026,-0.1338,0.1357,0.1629,0.0655
Sávio,Manchester City,MID,2614,-0.0301,-0.1544,0.0807,-0.0117,-0.136,0.0991,-0.0185,74.0,-0.0929,-0.2134,0.0343,-0.8472,-0.3444
Leny Yoro,Manchester United,DEF,2907,-0.0303,-0.1374,0.0657,-0.0294,-0.1365,0.0666,-0.0009,14.0,-0.1634,-0.2521,-0.0461,-0.4846,0.2636
Taylor Harwood-Bellis,Southampton,DEF,2856,-0.0304,-0.1657,0.072,-0.0294,-0.1648,0.0729,-0.001,20.0,-0.0783,-0.1606,0.0046,0.8662,0.642
Ben Brereton Díaz,Southampton,FWD,1583,-0.0306,-0.1717,0.1023,-0.0271,-0.1682,0.1058,-0.0035,46.0,-0.0639,-0.177,0.0571,0.1357,0.5435
Christopher Nkunku,Chelsea,FWD,1309,-0.0306,-0.1372,0.0879,-0.0272,-0.1338,0.0913,-0.0034,41.0,-0.1199,-0.2276,0.0027,-0.6451,-0.0231
