player,latest_team,position,total_minutes,impact90,impact90_lo,impact90_hi,rapm_xg,rapm_xg_lo,rapm_xg_hi,finishing_per90,shots,rapm_goals,rapm_goals_lo,rapm_goals_hi,naive_gd90,naive_xgd90
Jean-Ricner Bellegarde,Wolverhampton Wanderers,MID,3929,-0.1095,-0.2281,0.0077,-0.1115,-0.2301,0.0056,0.002,58.0,-0.1516,-0.2666,-0.0252,-0.4816,-0.172
Max Aarons,Bournemouth,DEF,1309,-0.1097,-0.1907,-0.024,-0.1096,-0.1907,-0.024,-0.0,2.0,-0.1417,-0.238,-0.0486,-1.6042,-1.1819
Stephy Mavididi,Leicester,FWD,1600,-0.1102,-0.2223,0.0207,-0.1112,-0.2233,0.0197,0.001,26.0,-0.0239,-0.1252,0.089,0.1864,-0.1779
Tyrick Mitchell,Crystal Palace,MID,9674,-0.1117,-0.1938,-0.0276,-0.1106,-0.1927,-0.0265,-0.0011,43.0,-0.0574,-0.1469,0.0275,-0.2458,-0.4562
Florentino Luís,Burnley,MID,2154,-0.1119,-0.1912,-0.0285,-0.1108,-0.1901,-0.0274,-0.0011,13.0,-0.0802,-0.1657,0.0003,-0.1755,-0.471
Jhon Durán,Aston Villa,FWD,980,-0.1131,-0.223,0.0057,-0.136,-0.2459,-0.0172,0.0229,51.0,-0.0106,-0.1559,0.1453,-0.3803,-0.7957
Brennan Johnson,Crystal Palace,FWD,6279,-0.1145,-0.2264,0.0244,-0.1017,-0.2136,0.0372,-0.0128,130.0,0.0766,-0.0886,0.2501,0.319,-0.0729
Lloyd Kelly,Newcastle United,DEF,1882,-0.1164,-0.2375,0.0231,-0.1161,-0.2373,0.0234,-0.0003,7.0,-0.1553,-0.2618,-0.0305,-0.8479,-0.4617
James Bree,Southampton,DEF,1084,-0.1194,-0.2194,-0.0054,-0.1192,-0.2192,-0.0053,-0.0001,4.0,-0.0787,-0.1569,-0.0034,-0.5004,-0.7146
Lukasz Fabianski,West Ham,GK,1878,-0.1197,-0.2085,-0.0266,-0.1197,-0.2085,-0.0266,0.0,,-0.0972,-0.2323,0.028,-0.357,-0.4084
Mario Lemina,Wolverhampton Wanderers,MID,4400,-0.1209,-0.2314,0.0031,-0.1194,-0.2299,0.0046,-0.0016,65.0,-0.1241,-0.2209,-0.0122,0.0423,-0.16
Diego Carlos,Aston Villa,DEF,2638,-0.1225,-0.2322,-0.0136,-0.1213,-0.231,-0.0123,-0.0013,13.0,-0.075,-0.1685,0.0383,-0.3846,-0.392
Marvelous Nakamba,Luton,MID,1148,-0.1246,-0.1917,-0.0385,-0.1244,-0.1915,-0.0382,-0.0002,5.0,-0.0805,-0.1457,-0.0062,-0.3544,-0.335
Alejandro Garnacho,Chelsea,FWD,6099,-0.1281,-0.2782,0.0212,-0.0985,-0.2486,0.0508,-0.0296,217.0,0.005,-0.1342,0.1297,-0.2167,-0.4726
Lewis Dunk,Brighton,DEF,7866,-0.1295,-0.2312,-0.0146,-0.1279,-0.2296,-0.013,-0.0016,69.0,-0.1304,-0.2539,-0.0055,-0.6489,-0.5088
Keane Lewis-Potter,Brentford,DEF,6560,-0.1299,-0.2448,-0.0014,-0.119,-0.234,0.0095,-0.0109,102.0,-0.0648,-0.1916,0.0752,-0.1088,-0.213
Vinicius Souza,Sheffield United,MID,2695,-0.1314,-0.2118,-0.0325,-0.1321,-0.2125,-0.0332,0.0007,14.0,-0.1286,-0.2472,-0.0079,-0.1612,-0.4707
Zeki Amdouni,Burnley,FWD,2086,-0.133,-0.2292,-0.0309,-0.1296,-0.2258,-0.0274,-0.0034,52.0,-0.0657,-0.1713,0.0338,-0.1001,0.1478
Carlton Morris,Luton,FWD,2901,-0.1332,-0.217,-0.0449,-0.1302,-0.2141,-0.0419,-0.003,72.0,-0.1305,-0.2091,-0.0316,-0.8285,0.2081
Anel Ahmedhodzic,Sheffield United,DEF,2665,-0.1342,-0.2342,-0.0303,-0.1333,-0.2333,-0.0295,-0.0009,19.0,-0.2004,-0.3129,-0.0802,-0.8416,-0.01
Victor Kristiansen,Leicester,DEF,2529,-0.1347,-0.2372,-0.0327,-0.1346,-0.2372,-0.0326,-0.0,3.0,-0.1754,-0.2648,-0.0736,-1.1406,-0.2289
Kamaldeen Sulemana,Southampton,FWD,1414,-0.1353,-0.2418,0.0008,-0.1333,-0.2399,0.0028,-0.002,29.0,-0.0827,-0.1876,0.0178,-0.1497,-0.5281
Maxim De Cuyper,Brighton,DEF,1422,-0.1356,-0.2211,-0.0272,-0.1358,-0.2213,-0.0274,0.0002,13.0,-0.072,-0.191,0.037,-0.2807,-0.331
João Gomes,Wolverhampton Wanderers,MID,8618,-0.1358,-0.2575,-0.0239,-0.1359,-0.2576,-0.0239,0.0,79.0,-0.1042,-0.201,0.0083,-0.0543,-0.3699
Tahith Chong,Luton,MID,1992,-0.136,-0.2753,0.0025,-0.1369,-0.2763,0.0015,0.001,30.0,-0.1474,-0.2425,-0.0308,-0.9562,-0.2983
Kevin,Fulham,FWD,1016,-0.1368,-0.2403,-0.0336,-0.1353,-0.2388,-0.0321,-0.0015,25.0,-0.0366,-0.1341,0.0498,-0.0017,-0.2258
Naif Aguerd,West Ham,DEF,2067,-0.1379,-0.2334,-0.012,-0.1373,-0.2327,-0.0114,-0.0007,16.0,-0.2412,-0.3466,-0.0965,-0.8273,-0.3294
Abdoulaye Doucouré,Everton,MID,5319,-0.1385,-0.2786,-0.0074,-0.1335,-0.2736,-0.0024,-0.005,78.0,-0.0326,-0.1474,0.0824,-0.0268,-0.0581
Emerson,Tottenham,DEF,1157,-0.141,-0.2489,-0.0201,-0.1423,-0.2503,-0.0214,0.0013,6.0,-0.102,-0.2136,0.0187,-0.73,-0.8721
Tyler Dibling,Everton,FWD,2217,-0.1417,-0.2697,0.0017,-0.1391,-0.2671,0.0042,-0.0026,32.0,-0.0914,-0.2101,0.0227,-0.0101,-0.2308
Pelly Ruddock Mpanzu,Luton,MID,1081,-0.1488,-0.2505,-0.0357,-0.1464,-0.2481,-0.0333,-0.0023,11.0,-0.0642,-0.1707,0.038,-0.4435,-0.6966
Wilfred Ndidi,Leicester,MID,2382,-0.1502,-0.2365,-0.0568,-0.1478,-0.2341,-0.0544,-0.0024,22.0,-0.0025,-0.0975,0.088,0.9042,-0.329
Cameron Archer,Southampton,FWD,3302,-0.1506,-0.2626,-0.0131,-0.1387,-0.2508,-0.0013,-0.0118,70.0,-0.0737,-0.2224,0.0617,0.5979,0.2115
Ilkay Gündogan,Manchester City,MID,2244,-0.151,-0.2761,0.0061,-0.1481,-0.2732,0.009,-0.0029,27.0,0.035,-0.1039,0.1805,-0.2898,-0.7393
Jaidon Anthony,Burnley,MID,2945,-0.1545,-0.2537,-0.06,-0.1598,-0.259,-0.0652,0.0053,57.0,-0.076,-0.176,0.0008,-0.1486,-0.5066
Aaron Wan-Bissaka,West Ham,DEF,7078,-0.1551,-0.2645,-0.0375,-0.1552,-0.2647,-0.0377,0.0002,19.0,-0.0946,-0.2137,0.0206,-0.2377,-0.2449
Edson Álvarez,West Ham,MID,4199,-0.1558,-0.2779,-0.0348,-0.155,-0.2771,-0.034,-0.0008,29.0,0.0286,-0.1035,0.1591,0.1773,-0.2851
Dara O'Shea,Ipswich,DEF,6075,-0.1587,-0.2421,-0.076,-0.1593,-0.2427,-0.0766,0.0006,41.0,-0.159,-0.2451,-0.0678,0.1216,0.6145
Issa Diop,Fulham,DEF,3611,-0.1611,-0.27,-0.039,-0.161,-0.2699,-0.039,-0.0001,12.0,-0.0556,-0.1587,0.0595,-0.3641,-0.629
Santiago Bueno,Wolverhampton Wanderers,DEF,5081,-0.1631,-0.2488,-0.0408,-0.1634,-0.249,-0.041,0.0002,16.0,-0.0567,-0.1682,0.0562,-0.144,-0.2157
Jamie Vardy,Leicester,FWD,2906,-0.1637,-0.2673,-0.0828,-0.159,-0.2626,-0.0781,-0.0047,58.0,-0.1274,-0.2143,-0.0462,-0.0871,-0.16
Yves Bissouma,Tottenham,MID,4167,-0.1641,-0.288,-0.0329,-0.1644,-0.2883,-0.0333,0.0003,40.0,0.0161,-0.1227,0.1532,0.1733,-0.2683
Aaron Ramsdale,Newcastle United,GK,4276,-0.1649,-0.2837,-0.0357,-0.1649,-0.2837,-0.0357,0.0,,-0.1261,-0.232,-0.018,0.1105,-0.0273
Max Kilman,West Ham,DEF,8380,-0.1664,-0.2664,-0.0374,-0.1649,-0.2649,-0.0359,-0.0015,34.0,-0.1475,-0.2672,-0.0297,-0.0785,-0.1584
Jefferson Lerma,Crystal Palace,MID,6431,-0.1666,-0.2831,-0.0404,-0.1577,-0.2741,-0.0314,-0.009,79.0,-0.1493,-0.2498,-0.0189,-0.5238,-0.4448
Tom Lockyer,Luton,DEF,1191,-0.1706,-0.2309,-0.0826,-0.1703,-0.2306,-0.0823,-0.0003,7.0,-0.0537,-0.1121,0.0107,-0.0698,-0.5721
Thomas Kaminski,Luton,GK,3438,-0.1706,-0.224,-0.1049,-0.1706,-0.224,-0.1049,0.0,,-0.0976,-0.1436,-0.0454,-0.8639,-0.3642
Pape Sarr,Tottenham,MID,5444,-0.174,-0.3354,0.0015,-0.1706,-0.3319,0.005,-0.0035,87.0,0.0401,-0.114,0.1901,0.2589,-0.3833
Archie Gray,Tottenham,MID,3250,-0.1746,-0.2983,-0.0505,-0.1748,-0.2985,-0.0507,0.0002,12.0,-0.1454,-0.2568,-0.0217,-0.9665,-0.777
Wes Burns,Ipswich,FWD,965,-0.1768,-0.3014,-0.0538,-0.1763,-0.301,-0.0533,-0.0005,7.0,-0.0859,-0.1965,0.019,-0.5339,-0.6094
Wes Foderingham,Sheffield United,GK,2666,-0.1791,-0.2507,-0.0865,-0.1791,-0.2507,-0.0865,0.0,,-0.1687,-0.2637,-0.0648,-0.2434,-0.5957
Adam Armstrong,Wolverhampton Wanderers,FWD,2465,-0.1808,-0.3011,-0.0619,-0.1761,-0.2964,-0.0572,-0.0047,44.0,-0.1297,-0.2529,-0.0077,-0.4452,-0.298
Marcus Rashford,Aston Villa,FWD,3747,-0.1826,-0.3155,-0.0282,-0.1834,-0.3163,-0.029,0.0008,97.0,0.0304,-0.1069,0.156,0.035,-0.5291
Manuel Ugarte,Manchester United,MID,2666,-0.1861,-0.2997,-0.0301,-0.1842,-0.2978,-0.0283,-0.0019,32.0,-0.163,-0.2638,-0.0542,-1.0038,-0.5853
Eddie Nketiah,Crystal Palace,FWD,2449,-0.1876,-0.2981,-0.0411,-0.1739,-0.2843,-0.0273,-0.0138,96.0,-0.066,-0.1861,0.0506,-0.2062,-0.2144
Wout Faes,Leicester,DEF,2829,-0.1895,-0.2923,-0.078,-0.1893,-0.2921,-0.0778,-0.0002,12.0,-0.0737,-0.165,0.0218,0.4413,-0.3845
Ben Johnson,Ipswich,DEF,1853,-0.1918,-0.3163,-0.0352,-0.1913,-0.3158,-0.0348,-0.0005,13.0,-0.0387,-0.1771,0.1066,-0.3742,-0.8839
Estupiñán,Brighton,DEF,3671,-0.1938,-0.3112,-0.0501,-0.195,-0.3124,-0.0513,0.0012,39.0,-0.0445,-0.1714,0.0928,-0.119,-0.3068
Gabriel Osho,Luton,DEF,1865,-0.2091,-0.3063,-0.0671,-0.2095,-0.3067,-0.0675,0.0004,10.0,-0.0674,-0.1413,0.0167,0.1938,-0.2375
Chimuanya Ugochukwu,Burnley,MID,4407,-0.211,-0.3503,-0.0919,-0.2115,-0.3508,-0.0923,0.0004,32.0,-0.1369,-0.2598,-0.0062,0.1147,-0.3224
Jacob Brown,Luton,MID,1037,-0.2143,-0.3287,-0.0941,-0.2114,-0.3258,-0.0912,-0.0029,25.0,-0.0566,-0.1363,0.0212,-0.1338,-0.7818
Joe Ayodele-Aribo,Southampton,MID,2034,-0.2201,-0.3537,-0.0822,-0.2201,-0.3538,-0.0823,0.0001,17.0,-0.1246,-0.23,-0.003,-0.3881,-0.7321
Michael Keane,Everton,DEF,4094,-0.2206,-0.3323,-0.0968,-0.222,-0.3337,-0.0982,0.0014,42.0,-0.2242,-0.349,-0.095,-0.8612,-0.787
Harry Wilson,Fulham,FWD,5508,-0.2326,-0.346,-0.0876,-0.2587,-0.3721,-0.1137,0.0261,160.0,-0.0759,-0.1967,0.0629,-0.0935,-0.4619
Luke Thomas,Leicester,DEF,2079,-0.2371,-0.3544,-0.0947,-0.2365,-0.3538,-0.094,-0.0007,11.0,-0.1391,-0.2519,-0.0092,-0.3392,-0.7219
Kyle Walker-Peters,West Ham,DEF,4328,-0.2599,-0.3786,-0.1225,-0.2585,-0.3772,-0.1211,-0.0013,25.0,-0.1988,-0.314,-0.0814,-0.3853,-0.6033
Oliver Norwood,Sheffield United,MID,1428,-0.2648,-0.3447,-0.1629,-0.2649,-0.3447,-0.1629,0.0,15.0,-0.1322,-0.254,-0.0099,-0.4751,-1.1165
William Osula,Newcastle United,FWD,1672,-0.2678,-0.3852,-0.1274,-0.2695,-0.387,-0.1291,0.0017,48.0,-0.1463,-0.2681,-0.033,-0.6715,-0.9724
